mountain_id,name,name_original,name_clean,alt_names,elev_final_m,elev_final_source,prom_final_m,prom_final_source,is_volc_final,is_volc_final_source,marker_size,expected_marker_size,marker_size_check,elev,prom,is_volc,coord,lat,lon,coord_source,prov,prov_psgc_code,region,region_name,region_code,isl_grp,prov_gis_original,region_gis_original,admin_note,peakvisor_name,peakvisor_elev_m,peakvisor_prom_m,peakvisor_elev_source_unit,peakvisor_prom_source_unit,peakvisor_elev_difference_m,peakvisor_elev_validation_flag,peakvisor_lat,peakvisor_lon,peakvisor_location_text,peakvisor_about_text,detail_url_peakvisor,url_source,detail_scrape_status,name_quickmap,lat_quickmap,lon_quickmap,elev_quickmap,quickmap_match,quickmap_distance_km,quickmap_validation_note,quickmap_status,quickmap_confidence,repo_name,repo_elev,repo_prom,repo_coord,repo_is_volc,repo_prov,repo_region,repo_isl_grp,repo_alt_names,repo_marker_size,repo_source_file,repo_match_status,repo_elev_difference,repo_elev_validation_flag,prom_enriched,prom_enrichment_source,is_volc_enriched,is_volc_enrichment_source,has_trail_info,trail_sentence,has_volcano_info,volcano_sentence,source,source_file,data_quality_notes,detail_url,osm_id,osm_type,osm_tags,geometry,index_right,dedup_group_id,dedup_action,dedup_original_index,dedup_row_score,peak_key,priority_group,elev_raw,source.1,best_group_elev,elev_filled_from_same_mountain,elev_after_same_mountain_fill,elev_after_external_fill,elev_external_source,elev_external_note,duplicate_donor_score,quickmap_score_attr,peakvisor_score_attr,repo_score_attr,attr_donor_score
387_15.9003_120.9738,Mount 387,Mount 387,387,[],777.0,original_elev,,missing,,missing,medium,medium,correct,777.0,,,"15.900298, 120.9737706",15.900298,120.9737706,OpenStreetMap,Nueva Ecija,304900000.0,Region III,Region III (Central Luzon),300000000.0,Luzon,Nueva Ecija,Central Luzon (Region III),,,,,,,,,,,,,,,,,,,,False,,Not found in QuickMap/GeoNames,Not found in QuickMap,No QuickMap match,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-centralluzonregioniii.0.01.json,,,5269019421,node,"{'alt_name': 'Mount Batong Amat', 'ele': '777', 'ele:local': '772', 'ele:source': 'SRTM', 'name': 'Mount 387', 'natural': 'peak', 'source': 'Schadow1 Expeditions'}",POINT (120.9737706 15.900298),78.0,,keep_unique,0,140.4,mount 387 | nueva ecija | region iii,,777,OpenStreetMap,,False,777.0,777.0,already_filled_or_original,kept existing elevation,0,0,0,0,0
abao_16.8323_120.9149,Mount Abao,Mount Abao,abao,[],2527.0,original_elev,1095.0,existing_row_value,,missing,large,large,correct,2527.0,,,"16.8323069, 120.9148864",16.8323069,120.9148864,OpenStreetMap,Ifugao,1402700000.0,CAR,Cordillera Administrative Region  (CAR),1400000000.0,Luzon,Ifugao,Cordillera Administrative Region (CAR),,,2596.0,1095.0,m_from_title,m_from_text,69.0,minor_difference,16.832955,120.914709,Philippines Ifugao,"Mount Abao is a mountain in the Philippines. It is located in Bauko, Mountain Province in Cordillera Central and the Cordillera Administrative Region, in the north of the country, 250 kilometres (160 mi) north of the national capital Manila.",https://peakvisor.com/peak/mount-abao.html,slug_guess,scraped_with_keywords,Mount Abao,16.8333,120.9167,2524.0,True,0.2223780784168516,QuickMap match: coordinate very close,Validated by QuickMap,High confidence,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,True,Accept Reject PeakVisor Panorama 3D Hiking Map 3D Ski Map 3D Panorama 3D Import Photo Get PeakVisor App Sign In Search by GPS coordinates Teleport Latitude N S ° ' '' Longitude E W ° ' '' Units of Length m/km ft/mi Temperature ℃ ℉ Silhouettes Color [ Shift + C ] Hiking Map Hiking Map 3D Ski Map Ski Map 3D Panorama 3D Search by GPS coordinates Sign In Contact us GPS coordinates Settings Enter your name for confirmation: Yes Cancel ❤ Wishlist × Choose Delete Share × Copy Link Copy Coordinates Send to device Export to Garmin Export to Suunto Available for connected Garmin and Suunto accounts. 111 m Prominence Peak’s prominence is the least vertical to be covered to get from the summit to any other higher terrain.,False,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-cordilleraadministrativeregioncar.0.01.json,,,332021090,node,"{'ele': '2527', 'gns:dsg': 'MT', 'gns:uni': '-3321716', 'is_in:state': 'Mountain Province', 'name': 'Mount Abao', 'natural': 'peak', 'source': 'GNS'}",POINT (120.9148864 16.8323069),10.0,,keep_unique,1,242.7,mount abao | ifugao | car,large,2527,OpenStreetMap,,False,2527.0,2527.0,already_filled_or_original,kept existing elevation,0,3,2,0,40
abel's peak_12.4311_122.5738,Abel's Peak,Abel's Peak,abel's peak,[],1464.0,original_elev,100.0,existing_row_value,,missing,medium,medium,correct,1464.0,,,"12.4311298, 122.5737552",12.4311298,122.5737552,OpenStreetMap,Romblon,1705900000.0,MIMAROPA,MIMAROPA Region,1700000000.0,Luzon,Romblon,MIMAROPA (Region IV-B),,,1529.0,100.0,m_from_title,m_from_about,65.0,minor_difference,12.431,122.573005,Philippines Romblon Cajidiocan,Abel's Peak (1 529m/5 016ft a.s.l.) is a mountain in Philippines . The prominence is 100m/328ft.,https://peakvisor.com/peak/abel-s-peak.html,slug_guess,scraped_with_keywords,,,,,False,,Not found in QuickMap/GeoNames,Not found in QuickMap,No QuickMap match,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,True,Accept Reject PeakVisor Panorama 3D Hiking Map 3D Ski Map 3D Panorama 3D Import Photo Get PeakVisor App Sign In Search by GPS coordinates Teleport Latitude N S ° ' '' Longitude E W ° ' '' Units of Length m/km ft/mi Temperature ℃ ℉ Silhouettes Color [ Shift + C ] Hiking Map Hiking Map 3D Ski Map Ski Map 3D Panorama 3D Search by GPS coordinates Sign In Contact us GPS coordinates Settings Enter your name for confirmation: Yes Cancel ❤ Wishlist × Choose Delete Share × Copy Link Copy Coordinates Send to device Export to Garmin Export to Suunto Available for connected Garmin and Suunto accounts. 100 m Prominence Peak’s prominence is the least vertical to be covered to get from the summit to any other higher terrain.,False,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-mimaroparegionivb.0.01.json,,,4231475039,node,"{'ele': '1464', 'name': ""Abel's Peak"", 'natural': 'peak', 'source': 'University of the Philippines Mountaineers'}",POINT (122.5737552 12.4311298),27.0,,keep_unique,2,192.2,abel's peak | romblon | mimaropa,medium,1464,OpenStreetMap,,False,1464.0,1464.0,already_filled_or_original,kept existing elevation,0,0,2,0,10
abnataclayong_5.675_125.3669,Mount Abnataclayong,Mount Abnataclayong,abnataclayong,[],370.0,original_elev,,missing,,missing,small,small,correct,370.0,,,"5.675, 125.366944",5.675,125.366944,OpenStreetMap,Sarangani,1208000000.0,Region XII,Region XII (SOCCSKSARGEN),1200000000.0,Mindanao,Sarangani,SOCCSKSARGEN (Region XII),,,,,,,,,,,,,,,,Mount Abnataclayong,5.675,125.36694,370.0,True,0.0004425997579186,QuickMap match: coordinate very close,Validated by QuickMap,High confidence,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-soccsksargenregionxii.0.01.json,,,332020520,node,"{'ele': '370', 'gns:dsg': 'MT', 'gns:uni': '-3321791', 'is_in:state': 'Sarangani', 'name': 'Mount Abnataclayong', 'natural': 'peak', 'source': 'GNS'}",POINT (125.366944 5.675),55.0,,keep_unique,3,190.9,mount abnataclayong | sarangani | region xii,,370,OpenStreetMap,,False,370.0,370.0,already_filled_or_original,kept existing elevation,0,3,0,0,30
aboabo_9.1475_118.06,Mount Aboabo,Mount Aboabo,aboabo,[],395.0,peakvisor_missing_elev_enrichment,,missing,,missing,small,small,correct,,,,"9.1475284, 118.060024",9.1475284,118.060024,OpenStreetMap,Palawan,1705300000.0,MIMAROPA,MIMAROPA Region,1700000000.0,Luzon,Palawan,MIMAROPA (Region IV-B),,,,,,,,,,,,,,,,,,,,False,,Not found in QuickMap/GeoNames,Not found in QuickMap,No QuickMap match,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-mimaroparegionivb.0.01.json,,,332021655,node,"{'gns:dsg': 'MT', 'gns:uni': '-3321795', 'is_in:state': 'Palawan', 'name': 'Mount Aboabo', 'natural': 'peak', 'source': 'GNS'}",POINT (118.060024 9.1475284),26.0,,keep_unique,4,140.0,mount aboabo | palawan | mimaropa,,,OpenStreetMap,,False,,,missing,no safe elevation source,0,0,0,0,0
abong-abong peak_6.5017_121.985,Abong-abong Peak,Abong-abong Peak,abong-abong peak,[],885.0,original_elev,,missing,,missing,medium,medium,correct,885.0,,,"6.5016836, 121.9849993",6.5016836,121.9849993,OpenStreetMap,Basilan,1900700000.0,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),1900000000.0,Mindanao,Basilan,Autonomous Region of Muslim Mindanao (ARMM),,,,,,,,,,,,,,,,,,,,False,,Not found in QuickMap/GeoNames,Not found in QuickMap,No QuickMap match,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-autonomousregionofmuslimmindanaoarmm.0.01.json,,,332019090,node,"{'alt_name': 'Abongabong Peak', 'ele': '885', 'ele:local': '863', 'gns:dsg': 'PK', 'gns:uni': '-3321814', 'is_in:municipality': 'Sumisip', 'is_in:province': 'BAS', 'name': 'Abong-abong Peak', 'natural': 'peak', 'source': 'GNS'}",POINT (121.9849993 6.5016836),28.0,,keep_unique,5,140.4,abong-abong peak | basilan | barmm,,885,OpenStreetMap,,False,885.0,885.0,already_filled_or_original,kept existing elevation,0,0,0,0,0
abongabong_13.3955_120.7504,Mount Abongabong,Mount Abongabong,abongabong,[],792.0,peakvisor_missing_elev_enrichment,,missing,,missing,medium,medium,correct,,,,"13.3954548, 120.7503755",13.3954548,120.7503755,OpenStreetMap,Occidental Mindoro,1705100000.0,MIMAROPA,MIMAROPA Region,1700000000.0,Luzon,Occidental Mindoro,MIMAROPA (Region IV-B),,,,,,,,,,,,,,,,,,,,False,,Not found in QuickMap/GeoNames,Not found in QuickMap,No QuickMap match,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-mimaroparegionivb.0.01.json,,,332021575,node,"{'gns:dsg': 'MT', 'gns:uni': '-3321813', 'is_in:state': 'Mindoro Occidental', 'name': 'Mount Abongabong', 'natural': 'peak', 'source': 'GNS'}",POINT (120.7503755 13.3954548),24.0,,keep_unique,6,140.0,mount abongabong | occidental mindoro | mimaropa,,,OpenStreetMap,,False,,,missing,no safe elevation source,0,0,0,0,0
aborlan_9.5106_118.4672,Mount Aborlan,Mount Aborlan,aborlan,[],745.0,original_elev,408.0,existing_row_value,,missing,medium,medium,correct,745.0,,,"9.510556, 118.467222",9.510556,118.467222,OpenStreetMap,Palawan,1705300000.0,MIMAROPA,MIMAROPA Region,1700000000.0,Luzon,Palawan,MIMAROPA (Region IV-B),,,,,,,,,,,,,,,,Mount Aborlan,9.5108,118.4669,775.0,True,0.0445320451799642,QuickMap match: coordinate very close,Validated by QuickMap,High confidence,Mount Aborlan,745.0,408.0,9°30′38″N 118°27′59″E,,['Palawan'],['Mimaropa'],Luzon,[],medium,palawan.geojson,matched_repo_geojson,0.0,close_match,408.0,repo_geojson,,missing,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-mimaroparegionivb.0.01.json,,,332018924,node,"{'ele': '745', 'gns:dsg': 'MT', 'gns:uni': '-3321820', 'is_in:state': 'Palawan', 'name': 'Mount Aborlan', 'natural': 'peak', 'source': 'GNS'}",POINT (118.467222 9.510556),26.0,,keep_unique,7,240.2,mount aborlan | palawan | mimaropa,,745,OpenStreetMap,,False,745.0,745.0,already_filled_or_original,kept existing elevation,0,3,0,3,39
abra de ilog_13.4545_120.6736,Mount Abra de Ilog,Mount Abra de Ilog,abra de ilog,[],1018.0,original_elev,537.0,existing_row_value,,missing,medium,medium,correct,1018.0,,,"13.4545261, 120.673642",13.4545261,120.673642,OpenStreetMap,Occidental Mindoro,1705100000.0,MIMAROPA,MIMAROPA Region,1700000000.0,Luzon,Occidental Mindoro,MIMAROPA (Region IV-B),,,,,,,,,,,,,,,,Mount Abra de Ilog,13.45167,120.67139,1018.0,True,0.4002138899687651,QuickMap match: coordinate very close,Validated by QuickMap,High confidence,Mount Abra de Ilog,1076.0,537.0,13°27′18″N 120°40′25″E,,['Occidental Mindoro'],['Mimaropa'],Luzon,[],medium,occidental_mindoro.geojson,matched_repo_geojson,58.0,minor_difference,537.0,repo_geojson,,missing,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-mimaroparegionivb.0.01.json,,,332019826,node,"{'ele': '1018', 'gns:dsg': 'MT', 'gns:uni': '9159517', 'is_in:state': 'Mindoro Occidental', 'name': 'Mount Abra de Ilog', 'natural': 'peak', 'source': 'GNS'}",POINT (120.673642 13.4545261),24.0,,keep_unique,8,240.2,mount abra de ilog | occidental mindoro | mimaropa,,1018,OpenStreetMap,,False,1018.0,1018.0,already_filled_or_original,kept existing elevation,0,3,0,2,36
abriringan_18.299_122.2704,Mount Abriringan,Mount Abriringan,abriringan,[],659.0,original_elev,,missing,,missing,medium,medium,correct,659.0,,,"18.2989998, 122.2703722",18.2989998,122.2703722,OpenStreetMap,Cagayan,201500000.0,Region II,Region II (Cagayan Valley),200000000.0,Luzon,Cagayan,Cagayan Valley (Region II),,,,,,,,,,,,,,,,Mount Abriringan,18.29967,122.26915,659.0,True,0.1490044490707464,QuickMap match: coordinate very close,Validated by QuickMap,High confidence,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-cagayanvalleyregionii.0.01.json,,,332018923,node,"{'ele': '659', 'gns:dsg': 'MT', 'gns:uni': '-3321834', 'is_in:state': 'Cagayan', 'name': 'Mount Abriringan', 'natural': 'peak', 'note': 'BlueArrow: Updated with NGA-GNS-09152010', 'source': 'GNS', 'wikidata': 'Q31505158'}",POINT (122.2703722 18.2989998),19.0,,keep_unique,9,190.9,mount abriringan | cagayan | region ii,,659,OpenStreetMap,,False,659.0,659.0,already_filled_or_original,kept existing elevation,0,3,0,0,30
abunabun_7.4681_124.1794,Mount Abunabun,Mount Abunabun,abunabun,[],606.0,original_elev,312.0,existing_row_value,,missing,medium,medium,correct,606.0,,,"7.468056, 124.179444",7.468056,124.179444,OpenStreetMap,Lanao del Sur,1903600000.0,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),1900000000.0,Mindanao,Lanao del Sur,Autonomous Region of Muslim Mindanao (ARMM),,,,,,,,,,,,,,,,Mount Abunabun,7.46806,124.17944,606.0,True,0.0006263513637696,QuickMap match: coordinate very close,Validated by QuickMap,High confidence,Mount Abunabun,614.0,312.0,7°28′2″N 124°10′46″E,,['Lanao del Sur'],['BARMM'],Mindanao,[],medium,lanao_del_sur.geojson,matched_repo_geojson,8.0,close_match,312.0,repo_geojson,,missing,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-autonomousregionofmuslimmindanaoarmm.0.01.json,,,332021570,node,"{'ele': '606', 'gns:dsg': 'MT', 'gns:uni': '-3321883', 'is_in:state': 'Maguindanao', 'name': 'Mount Abunabun', 'natural': 'peak', 'source': 'GNS'}",POINT (124.179444 7.468056),29.0,,keep_unique,10,240.2,mount abunabun | lanao del sur | barmm,,606,OpenStreetMap,,False,606.0,606.0,already_filled_or_original,kept existing elevation,0,3,0,3,39
abuno peak_6.9177_125.4068,Abuno Peak,Abuno Peak,abuno peak,[],1292.0,original_elev,,missing,,missing,medium,medium,correct,1292.0,,,"6.9177346, 125.4067536",6.9177346,125.4067536,OpenStreetMap,Davao del Sur,1102400000.0,Region XI,Region XI (Davao Region),1100000000.0,Mindanao,Davao del Sur,Davao Region (Region XI),,,,,,,,,,,,,,,,,,,,False,,Not found in QuickMap/GeoNames,Not found in QuickMap,No QuickMap match,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-davaoregionregionxi.0.01.json,,,9460129914,node,"{'ele': '1292', 'name': 'Abuno Peak', 'natural': 'peak'}",POINT (125.4067536 6.9177346),41.0,,keep_unique,11,140.4,abuno peak | davao del sur | region xi,,1292,OpenStreetMap,,False,1292.0,1292.0,already_filled_or_original,kept existing elevation,0,0,0,0,0
abuyog_10.3833_125.1,Mount Abuyog,Mount Abuyog,abuyog,[],414.0,original_elev,,missing,,missing,small,small,correct,414.0,,,"10.383333, 125.1",10.383333,125.1,OpenStreetMap,Southern Leyte,806400000.0,Region VIII,Region VIII  (Eastern Visayas),800000000.0,Visayas,Southern Leyte,Eastern Visayas (Region VIII),,,,,,,,,,,,,,,,Mount Abuyog,10.3767,125.0947,414.0,True,0.938097706723704,QuickMap match: coordinate very close,Validated by QuickMap,High confidence,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-easternvisayasregionviii.0.01.json,,,332019225,node,"{'gns:dsg': 'MT', 'gns:uni': '-3321907', 'is_in:state': 'Southern Leyte', 'name': 'Mount Abuyog', 'natural': 'peak', 'source': 'GNS'}",POINT (125.1 10.383333),74.0,,keep_unique,12,190.8,mount abuyog | southern leyte | region viii,,,OpenStreetMap,,False,414.0,414.0,already_filled_or_original,kept existing elevation,0,3,0,0,30
acararao_11.1545_122.6781,Mount Acararao,Mount Acararao,acararao,[],287.0,original_elev,,missing,,missing,small,small,correct,287.0,,,"11.154491, 122.6781006",11.154491,122.6781006,OpenStreetMap,Iloilo,603000000.0,Region VI,Region VI  (Western Visayas),600000000.0,Visayas,Iloilo,Western Visayas (Region VI),,,,,,,,,,,,,,,,,,,,False,,Not found in QuickMap/GeoNames,Not found in QuickMap,No QuickMap match,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-westernvisayasregionvi.0.01.json,,,332019479,node,"{'ele': '287', 'gns:dsg': 'MT', 'gns:uni': '-3321921', 'is_in:state': 'Iloilo', 'name': 'Mount Acararao', 'natural': 'peak', 'source': 'GNS'}",POINT (122.6781006 11.154491),66.0,,keep_unique,13,140.4,mount acararao | iloilo | region vi,,287,OpenStreetMap,,False,287.0,287.0,already_filled_or_original,kept existing elevation,0,0,0,0,0
acotay_11.5839_122.1317,Mount Acotay,Mount Acotay,acotay,[],988.0,original_elev,,missing,,missing,medium,medium,correct,988.0,,,"11.583889, 122.131667",11.583889,122.131667,OpenStreetMap,Antique,600600000.0,Region VI,Region VI  (Western Visayas),600000000.0,Visayas,Antique,Western Visayas (Region VI),,,,,,,,,,,,,,,,,,,,False,,Not found in QuickMap/GeoNames,Not found in QuickMap,No QuickMap match,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-westernvisayasregionvi.0.01.json,,,332019143,node,"{'ele': '988', 'gns:dsg': 'MT', 'gns:uni': '9167515', 'is_in:state': 'Aklan', 'name': 'Mount Acotay', 'natural': 'peak', 'source': 'GNS'}",POINT (122.131667 11.583889),63.0,,keep_unique,14,140.4,mount acotay | antique | region vi,,988,OpenStreetMap,,False,988.0,988.0,already_filled_or_original,kept existing elevation,0,0,0,0,0
acsubing_10.4513_123.9145,Mount Acsubing,Mount Acsubing,acsubing,[],520.0,original_elev,,missing,,missing,medium,medium,correct,520.0,,,"10.4512706, 123.9144602",10.4512706,123.9144602,OpenStreetMap,Cebu,702200000.0,Region VII,Region VII  (Central Visayas),700000000.0,Visayas,Cebu,Central Visayas (Region VII),,,,,,,,,,,,,,,,Mount Acsubing,10.45278,123.915,530.0,True,0.1779147612448532,QuickMap match: coordinate very close,Validated by QuickMap,High confidence,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-centralvisayasregionvii.0.01.json,,,6226724040,node,"{'ele': '520', 'name': 'Mount Acsubing', 'natural': 'peak'}",POINT (123.9144602 10.4512706),59.0,,keep_unique,15,190.9,mount acsubing | cebu | region vii,,520,OpenStreetMap,,False,520.0,520.0,already_filled_or_original,kept existing elevation,0,3,0,0,30
addison peak_8.8022_117.7531,Addison Peak,Addison Peak,addison peak,[],968.0,original_elev,,missing,,missing,medium,medium,correct,968.0,,,"8.802222, 117.753056",8.802222,117.753056,OpenStreetMap,Palawan,1705300000.0,MIMAROPA,MIMAROPA Region,1700000000.0,Luzon,Palawan,MIMAROPA (Region IV-B),,,,,,,,,,,,,,,,Addison Peak,8.8079,117.777,955.0,True,2.7057663879302094,QuickMap match: coordinate close,Validated by QuickMap,High confidence,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-mimaroparegionivb.0.01.json,,,332020144,node,"{'ele': '968', 'gns:dsg': 'MT', 'gns:uni': '-3321978', 'is_in:state': 'Palawan', 'name': 'Addison Peak', 'natural': 'peak', 'source': 'GNS'}",POINT (117.753056 8.802222),26.0,,keep_unique,16,190.9,addison peak | palawan | mimaropa,,968,OpenStreetMap,,False,968.0,968.0,already_filled_or_original,kept existing elevation,0,3,0,0,30
adga_12.2409_124.6421,Mount Adga,Mount Adga,adga,[],321.0,original_elev,,missing,,missing,small,small,correct,321.0,,,"12.2409243, 124.6421317",12.2409243,124.6421317,OpenStreetMap,Samar,806000000.0,Region VIII,Region VIII  (Eastern Visayas),800000000.0,Visayas,Samar,Eastern Visayas (Region VIII),,,,,,,,,,,,,,,,,,,,False,,Not found in QuickMap/GeoNames,Not found in QuickMap,No QuickMap match,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-easternvisayasregionviii.0.01.json,,,6188754933,node,"{'ele': '321', 'name': 'Mount Adga', 'natural': 'peak', 'wikidata': 'Q31505089'}",POINT (124.6421317 12.2409243),73.0,,keep_unique,17,140.4,mount adga | samar | region viii,,321,OpenStreetMap,,False,321.0,321.0,already_filled_or_original,kept existing elevation,0,0,0,0,0
adiayan_11.7781_121.9498,Mount Adiayan,Mount Adiayan,adiayan,[],328.0,peakvisor_missing_elev_enrichment,,missing,,missing,small,small,correct,,,,"11.7781356, 121.9498367",11.7781356,121.9498367,OpenStreetMap,Antique,600600000.0,Region VI,Region VI  (Western Visayas),600000000.0,Visayas,Antique,Western Visayas (Region VI),,,,,,,,,,,,,,,,,,,,False,,Not found in QuickMap/GeoNames,Not found in QuickMap,No QuickMap match,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-westernvisayasregionvi.0.01.json,,,332020148,node,"{'gns:dsg': 'MT', 'gns:uni': '-3321994', 'is_in:state': 'Antique', 'name': 'Mount Adiayan', 'natural': 'peak', 'source': 'GNS', 'wikidata': 'Q31505082'}",POINT (121.9498367 11.7781356),63.0,,keep_unique,18,140.0,mount adiayan | antique | region vi,,,OpenStreetMap,,False,,,missing,no safe elevation source,0,0,0,0,0
agad-agad_8.2089_124.277,Mount Agad-Agad,Mount Agad-Agad,agad-agad,[],480.0,original_elev,148.0,existing_row_value,,missing,small,small,correct,480.0,,,"8.2088649, 124.2770101",8.2088649,124.2770101,OpenStreetMap,Lanao del Norte,1003500000.0,Region X,Region X  (Northern Mindanao),1000000000.0,Mindanao,Lanao del Norte,Northern Mindanao (Region X),,,487.0,148.0,m_from_title,m_from_about,7.0,close_match,8.208957,124.276577,Philippines Iligan,Mount Agad-Agad (487m/1 598ft a.s.l.) is a hill in Philippines . The prominence is 148m/486ft.,https://peakvisor.com/peak/mount-agad-agad.html,slug_guess,scraped_with_keywords,,,,,False,,Not found in QuickMap/GeoNames,Not found in QuickMap,No QuickMap match,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,True,Accept Reject PeakVisor Panorama 3D Hiking Map 3D Ski Map 3D Panorama 3D Import Photo Get PeakVisor App Sign In Search by GPS coordinates Teleport Latitude N S ° ' '' Longitude E W ° ' '' Units of Length m/km ft/mi Temperature ℃ ℉ Silhouettes Color [ Shift + C ] Hiking Map Hiking Map 3D Ski Map Ski Map 3D Panorama 3D Search by GPS coordinates Sign In Contact us GPS coordinates Settings Enter your name for confirmation: Yes Cancel ❤ Wishlist × Choose Delete Share × Copy Link Copy Coordinates Send to device Export to Garmin Export to Suunto Available for connected Garmin and Suunto accounts. 148 m Prominence Peak’s prominence is the least vertical to be covered to get from the summit to any other higher terrain.,False,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-northernmindanaoregionx.0.01.json,,,4832180024,node,"{'ele': '480', 'name': 'Mount Agad-Agad', 'natural': 'peak'}",POINT (124.2770101 8.2088649),36.0,,keep_unique,19,192.2,mount agad-agad | lanao del norte | region x,small,480,OpenStreetMap,,False,480.0,480.0,already_filled_or_original,kept existing elevation,0,0,3,0,15
agamomata_18.1548_120.9678,Mount Agamomata,Mount Agamomata,agamomata,[],1649.0,original_elev,,missing,,missing,large,large,correct,1649.0,,,"18.1547627, 120.9678056",18.1547627,120.9678056,OpenStreetMap,Ilocos Norte,102800000.0,Region I,Region I  (Ilocos Region),100000000.0,Luzon,Ilocos Norte,Ilocos Region (Region I),,,,,,,,,,,,,,,,Mount Agamomata,18.15476,120.96781,1649.0,True,0.0005534160793435,QuickMap match: coordinate very close,Validated by QuickMap,High confidence,,,,,,,,,,,,not_found_in_repo_geojson,,no_repo_elevation,,missing,,missing,,,,,OpenStreetMap,philippines-json-maps/2011/geojson/provinces/medres/provinces-region-ilocosregionregioni.0.01.json,,,332020901,node,"{'ele': '1649', 'gns:dsg': 'MT', 'gns:uni': '-3322054', 'is_in:state': 'Kalinga-Apayao', 'name': 'Mount Agamomata', 'natural': 'peak', 'source': 'GNS'}",POINT (120.9678056 18.1547627),0.0,dedup_00001,kept_best_consolidated,20,190.9,mount agamomata | ilocos norte | region i,,1649,OpenStreetMap,,False,1649.0,1649.0,already_filled_or_original,kept existing elevation,0,3,0,0,30
